City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Wanning,CN,2022-05-05 22:56:49,18.8003,110.3967,76.77,91,77,4.25
142,Te Anau,NZ,2022-05-05 22:56:49,-45.4167,167.7167,58.19,75,39,2.44
143,Nassau,US,2022-05-05 22:56:50,40.7507,-73.5829,71.15,61,100,4.0
144,Lanzhou,CN,2022-05-05 22:56:51,36.0564,103.7922,65.12,39,14,3.85
145,Caravelas,BR,2022-05-05 22:56:51,-17.7125,-39.2481,79.54,82,0,12.53
146,Kaitangata,NZ,2022-05-05 22:56:52,-46.2817,169.8464,59.36,68,92,2.68
147,Vao,NC,2022-05-05 22:56:53,-22.6667,167.4833,75.31,77,8,21.09
148,Tautira,PF,2022-05-05 22:56:53,-17.7333,-149.15,81.21,78,86,11.12
149,Matay,EG,2022-05-05 22:56:54,28.419,30.7792,63.09,51,0,13.87
150,Taremskoye,RU,2022-05-05 22:56:55,55.9289,43.0443,31.82,63,1,5.3
151,Georgetown,MY,2022-05-05 22:53:19,5.4112,100.3354,82.33,93,20,3.44
152,Khovu-Aksy,RU,2022-05-05 22:56:56,51.1333,93.6,39.61,46,82,1.28
153,Mackay,AU,2022-05-05 22:56:56,-21.15,149.2,77.68,94,40,5.75
154,Kohtla-Jarve,EE,2022-05-05 22:56:57,59.3986,27.2731,41.9,69,98,7.67
155,Emerald,AU,2022-05-05 22:56:58,-23.5333,148.1667,71.74,83,100,13.8
156,Ambon,ID,2022-05-05 22:56:58,-3.6954,128.1814,78.94,89,40,4.61
157,Cherskiy,RU,2022-05-05 22:56:59,68.75,161.3,33.98,99,92,5.46
158,Ormara,PK,2022-05-05 22:57:00,25.2088,64.6357,80.17,76,0,6.82
159,Castro,BR,2022-05-05 22:57:00,-24.7911,-50.0119,58.95,86,89,2.95
160,Praia Da Vitoria,PT,2022-05-05 22:57:01,38.7333,-27.0667,63.75,88,40,19.13
161,Lavrentiya,RU,2022-05-05 22:57:02,65.5833,-171.0,24.4,74,11,1.5
162,Ketchikan,US,2022-05-05 22:57:02,55.3422,-131.6461,47.95,70,84,3.49
163,Chifeng,CN,2022-05-05 22:57:03,42.2683,118.9636,50.0,23,60,15.93
164,Thompson,CA,2022-05-05 22:54:55,55.7435,-97.8558,37.56,93,100,5.75
165,Maceio,BR,2022-05-05 22:57:04,-9.6658,-35.7353,76.44,88,20,2.3
166,Beringovskiy,RU,2022-05-05 22:57:05,63.05,179.3167,27.88,73,16,1.3
167,Sar-E Pul,AF,2022-05-05 22:57:05,35.8333,66.1667,57.43,61,0,4.09
168,Can,TR,2022-05-05 22:57:06,40.0333,27.0524,48.11,87,7,1.36
169,Hofn,IS,2022-05-05 22:57:07,64.2539,-15.2082,42.28,75,85,11.23
170,Aklavik,CA,2022-05-05 22:57:07,68.2191,-135.0107,26.6,80,100,10.36
171,Punta Arenas,CL,2022-05-05 22:57:04,-53.15,-70.9167,44.71,81,40,31.07
172,Ponta Do Sol,PT,2022-05-05 22:57:08,32.6667,-17.1,63.23,74,60,4.59
173,Saint-Augustin,CA,2022-05-05 22:51:13,51.226,-58.6502,40.98,60,97,11.16
174,Christchurch,NZ,2022-05-05 22:53:43,-43.5333,172.6333,69.42,76,5,3.44
175,Burgeo,CA,2022-05-05 22:54:55,47.6167,-57.6152,40.33,94,100,7.23
176,Bitung,ID,2022-05-05 22:57:09,1.4451,125.1824,77.85,83,84,4.32
177,Tuktoyaktuk,CA,2022-05-05 22:57:10,69.4541,-133.0374,26.6,93,100,19.57
178,Ahuimanu,US,2022-05-05 22:57:10,21.4447,-157.8378,81.75,71,94,7.0
179,Barguzin,RU,2022-05-05 22:57:11,53.6167,109.6167,35.13,50,0,1.54
180,Homer,US,2022-05-05 22:57:12,59.6425,-151.5483,48.78,75,100,3.0
181,Shelburne,CA,2022-05-05 22:57:12,44.0787,-80.2041,61.59,43,100,5.86
182,Novyye Lapsary,RU,2022-05-05 22:57:13,56.0685,47.2142,35.31,64,0,8.95
183,Cabo San Lucas,MX,2022-05-05 22:56:48,22.8909,-109.9124,82.62,64,0,8.57
184,Vero Beach,US,2022-05-05 22:56:03,27.6386,-80.3973,85.05,69,4,8.01
185,Plouzane,FR,2022-05-05 22:58:14,48.3833,-4.6167,50.32,93,0,5.75
186,Nampula,MZ,2022-05-05 22:58:15,-15.1165,39.2666,67.95,100,20,6.91
187,Shingu,JP,2022-05-05 22:58:15,33.7333,135.9833,66.04,73,100,7.43
188,Basco,PH,2022-05-05 22:58:16,20.4487,121.9702,82.63,77,66,9.22
189,Sankt Florian,AT,2022-05-05 22:58:17,48.2057,14.3784,59.34,66,100,3.44
190,Portland,US,2022-05-05 22:54:17,45.5234,-122.6762,56.62,94,100,8.05
191,Hasaki,JP,2022-05-05 22:58:17,35.7333,140.8333,68.29,71,100,10.25
192,Mount Pleasant,US,2022-05-05 22:56:08,32.7941,-79.8626,88.05,68,0,12.66
193,Codrington,AU,2022-05-05 22:58:18,-38.2667,141.9667,49.8,83,62,4.92
194,Amot,NO,2022-05-05 22:58:19,59.5714,7.9877,36.41,85,83,5.77
195,Lompoc,US,2022-05-05 22:58:20,34.6391,-120.4579,81.79,72,55,15.99
196,Berbera,SO,2022-05-05 22:58:20,10.4396,45.0143,85.12,73,12,7.27
197,Rawah,IQ,2022-05-05 22:58:21,34.4816,41.9093,68.34,35,2,2.13
198,Tessalit,ML,2022-05-05 22:58:22,20.1986,1.0114,92.14,16,100,11.05
199,Aljezur,PT,2022-05-05 22:58:23,37.3191,-8.8033,58.41,84,46,6.78
200,Lugovskoy,RU,2022-05-05 22:58:23,56.9585,64.529,43.56,83,94,9.86
