City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Dikson,RU,2022-05-12 05:54:11,73.5069,80.5464,24.58,75,3,13.2,clear sky
115,Tatawin,TN,2022-05-12 05:54:12,32.9297,10.4518,58.98,83,0,4.5,clear sky
116,Urumqi,CN,2022-05-12 05:54:12,43.801,87.6005,68.95,33,0,6.71,clear sky
117,Ocampo,MX,2022-05-12 05:54:13,21.65,-101.5,54.63,90,1,9.35,clear sky
118,Nyimba,ZM,2022-05-12 05:54:13,-14.5566,30.8149,69.67,65,1,3.11,clear sky
119,Belyy Yar,RU,2022-05-12 05:54:14,53.6039,91.3903,67.89,13,0,11.18,clear sky
120,Linxia,CN,2022-05-12 05:54:14,35.6003,103.2064,69.82,40,3,19.62,clear sky
121,Butaritari,KI,2022-05-12 05:54:14,3.0707,172.7902,80.91,79,60,9.53,broken clouds
122,Carballo,ES,2022-05-12 05:54:15,43.213,-8.691,59.02,90,100,4.56,overcast clouds
123,Sitka,US,2022-05-12 05:54:15,57.0531,-135.33,44.53,77,82,3.27,broken clouds
124,Launceston,AU,2022-05-12 05:54:16,-41.45,147.1667,62.35,77,100,8.05,light rain
125,Cidreira,BR,2022-05-12 05:45:38,-30.1811,-50.2056,58.53,86,7,10.33,clear sky
126,Bethel,US,2022-05-12 05:48:56,41.3712,-73.414,61.11,79,0,0.0,clear sky
127,Larsnes,NO,2022-05-12 05:54:17,62.2028,5.5773,45.01,92,100,13.06,light rain
128,Parati,BR,2022-05-12 05:54:18,-23.2178,-44.7131,69.21,96,91,3.44,overcast clouds
129,Aksha,RU,2022-05-12 05:54:18,50.2814,113.2867,47.12,49,100,16.31,overcast clouds
130,Salinopolis,BR,2022-05-12 05:54:19,-0.6136,-47.3561,76.8,88,67,6.42,broken clouds
131,Norsup,VU,2022-05-12 05:54:19,-16.0667,167.3833,79.29,79,100,18.68,light rain
132,Saint-Philippe,RE,2022-05-12 05:54:20,-21.3585,55.7679,78.39,78,79,7.29,broken clouds
133,Cherskiy,RU,2022-05-12 05:54:20,68.75,161.3,28.62,79,54,9.08,broken clouds
134,Flinders,AU,2022-05-12 05:54:21,-34.5833,150.8552,67.17,93,100,5.99,light rain
135,Ahipara,NZ,2022-05-12 05:54:21,-35.1667,173.1667,56.19,75,0,7.27,clear sky
136,Te Anau,NZ,2022-05-12 05:50:24,-45.4167,167.7167,48.79,84,99,0.18,overcast clouds
137,Simpang Empat,MY,2022-05-12 05:54:22,4.95,100.6333,88.03,67,86,4.32,overcast clouds
138,Georgetown,MY,2022-05-12 05:44:39,5.4112,100.3354,91.35,64,20,7.0,few clouds
139,Humaita,BR,2022-05-12 05:51:31,-7.5061,-63.0208,73.42,96,70,2.68,broken clouds
140,Smolensk,RU,2022-05-12 05:55:23,55.0,33.0,54.16,93,100,8.93,overcast clouds
141,Llanes,ES,2022-05-12 05:55:24,43.4198,-4.7549,59.22,84,100,3.83,overcast clouds
142,Pasni,PK,2022-05-12 05:55:24,25.2631,63.471,87.58,57,18,15.73,few clouds
143,Bowen,AU,2022-05-12 05:53:10,-20.0167,148.2333,74.91,87,100,7.81,overcast clouds
144,Berlevag,NO,2022-05-12 05:55:25,70.8578,29.0864,37.35,93,75,9.22,broken clouds
145,Sfantu Gheorghe,RO,2022-05-12 05:55:25,45.8667,25.7833,59.83,66,55,0.72,broken clouds
146,Dryden,CA,2022-05-12 05:55:26,49.7833,-92.7503,50.29,66,100,12.66,overcast clouds
147,Awbari,LY,2022-05-12 05:55:26,26.5921,12.7805,62.4,62,0,10.13,clear sky
148,Nevelsk,RU,2022-05-12 05:50:35,46.6733,141.8633,51.22,70,87,12.71,overcast clouds
149,Sumbe,AO,2022-05-12 05:55:27,-11.2061,13.8437,74.35,87,24,4.0,few clouds
150,Pringsewu,ID,2022-05-12 05:55:27,-5.3582,104.9744,89.28,65,98,2.08,light rain
151,Ribeira Grande,PT,2022-05-12 05:55:28,38.5167,-28.7,58.96,75,95,6.06,overcast clouds
152,Port-Gentil,GA,2022-05-12 05:55:28,-0.7193,8.7815,75.16,94,40,8.05,light rain
153,Tura,IN,2022-05-12 05:55:29,25.5198,90.2201,81.41,77,53,6.78,broken clouds
154,Kansanshi,ZM,2022-05-12 05:55:30,-12.0951,26.4273,64.45,67,95,5.48,overcast clouds
155,Grand Gaube,MU,2022-05-12 05:55:30,-20.0064,57.6608,80.38,76,7,3.0,clear sky
156,Bondowoso,ID,2022-05-12 05:55:31,-7.9135,113.8214,82.6,83,100,3.11,overcast clouds
157,Hobart,AU,2022-05-12 05:54:39,-42.8794,147.3294,59.25,83,0,4.61,light rain
158,Kudahuvadhoo,MV,2022-05-12 05:55:31,2.6708,72.8944,83.26,79,77,17.58,broken clouds
159,Lavrentiya,RU,2022-05-12 05:55:32,65.5833,-171.0,33.1,94,97,7.31,overcast clouds
160,Bengkulu,ID,2022-05-12 05:55:32,-3.8004,102.2655,82.63,72,92,20.85,overcast clouds
161,Devrek,TR,2022-05-12 05:55:33,41.2192,31.9558,54.45,48,19,1.34,few clouds
162,Emba,KZ,2022-05-12 05:54:17,48.8264,58.1442,52.39,68,100,9.78,overcast clouds
163,Quatre Cocos,MU,2022-05-12 05:55:34,-20.2078,57.7625,80.1,72,56,4.7,light rain
164,Longyearbyen,SJ,2022-05-12 05:55:34,78.2186,15.6401,21.04,68,0,16.11,clear sky
165,Nikolskoye,RU,2022-05-12 05:55:35,59.7035,30.7861,54.88,69,100,7.02,light rain
166,Torbay,CA,2022-05-12 05:55:35,47.6666,-52.7314,49.39,91,100,20.71,overcast clouds
167,Cayenne,GF,2022-05-12 05:55:36,4.9333,-52.3333,82.09,1,75,10.0,broken clouds
168,Storforshei,NO,2022-05-12 05:55:36,66.4043,14.5233,41.67,100,75,2.3,broken clouds
169,Janauba,BR,2022-05-12 05:54:13,-15.8025,-43.3089,64.11,51,82,2.98,broken clouds
170,Reo,BF,2022-05-12 05:55:37,12.3167,-2.4667,83.62,51,69,11.56,broken clouds
171,Pilar,BR,2022-05-12 05:55:37,-9.5972,-35.9567,73.33,94,27,2.37,light rain
172,Kitimat,CA,2022-05-12 05:55:38,54.0524,-128.6534,48.58,30,100,0.65,overcast clouds
173,Blackfoot,US,2022-05-12 05:55:38,43.1905,-112.345,49.71,64,84,11.72,broken clouds
174,Fare,PF,2022-05-12 05:55:39,-16.7,-151.0167,81.66,77,50,16.55,light rain
175,Vao,NC,2022-05-12 05:55:40,-22.6667,167.4833,73.35,68,100,29.19,overcast clouds
176,Rawson,AR,2022-05-12 05:55:40,-43.3002,-65.1023,53.89,66,75,20.71,broken clouds
177,Ulety,RU,2022-05-12 05:55:41,51.3572,112.4849,49.62,44,100,14.65,light rain
178,Basco,PH,2022-05-12 05:55:41,20.4487,121.9702,84.15,76,78,12.53,broken clouds
179,Banepa,NP,2022-05-12 05:55:42,27.6298,85.5214,79.12,54,40,5.75,scattered clouds
180,Kathmandu,NP,2022-05-12 05:53:26,27.7167,85.3167,80.82,50,40,3.44,scattered clouds
181,Tuatapere,NZ,2022-05-12 05:55:42,-46.1333,167.6833,52.72,82,100,5.32,light rain
182,Sola,VU,2022-05-12 05:56:43,-13.8833,167.55,76.82,92,100,18.37,light rain
183,Krasnoselkup,RU,2022-05-12 05:56:43,65.7,82.4667,38.79,100,100,2.84,overcast clouds
184,Hithadhoo,MV,2022-05-12 05:56:44,-0.6,73.0833,82.45,77,100,12.12,overcast clouds
185,Gobabis,NA,2022-05-12 05:56:44,-22.45,18.9667,57.85,33,8,3.53,clear sky
186,Oktyabrskiy,RU,2022-05-12 05:56:45,54.4815,53.471,52.88,66,85,17.52,overcast clouds
187,Ust-Maya,RU,2022-05-12 05:56:45,60.4167,134.5333,48.13,50,65,6.98,broken clouds
188,Tezu,IN,2022-05-12 05:56:46,27.9167,96.1667,81.1,72,95,0.81,overcast clouds
189,Zhigansk,RU,2022-05-12 05:56:46,66.7697,123.3711,35.55,100,100,11.72,overcast clouds
190,Constitucion,CL,2022-05-12 05:56:47,-35.3333,-72.4167,56.44,57,100,3.56,overcast clouds
191,Port Macquarie,AU,2022-05-12 05:56:47,-31.4333,152.9167,67.89,86,100,14.61,moderate rain
192,Marti,CU,2022-05-12 05:56:48,22.9475,-80.9203,72.54,75,3,3.4,clear sky
193,Qaqortoq,GL,2022-05-12 05:56:48,60.7167,-46.0333,31.53,89,100,12.97,light snow
194,Soe,ID,2022-05-12 05:56:49,-9.8607,124.284,83.17,50,79,5.77,broken clouds
195,Padang,ID,2022-05-12 05:56:49,-0.9492,100.3543,86.05,65,99,3.22,overcast clouds
196,Bilibino,RU,2022-05-12 05:56:50,68.0546,166.4372,27.84,88,100,11.81,overcast clouds
197,Puerto Ayora,EC,2022-05-12 05:56:50,-0.7393,-90.3518,71.55,96,19,7.14,few clouds
198,Bathsheba,BB,2022-05-12 05:56:51,13.2167,-59.5167,81.21,74,40,18.41,scattered clouds
199,Airai,TL,2022-05-12 05:56:52,-8.9266,125.4092,72.05,69,79,1.83,broken clouds
200,Rabak,SD,2022-05-12 05:56:52,13.1809,32.74,97.03,12,85,13.33,overcast clouds
201,Aldan,RU,2022-05-12 05:56:53,58.6031,125.3894,34.34,95,100,10.65,overcast clouds
202,Ngunguru,NZ,2022-05-12 05:56:54,-35.6167,174.5,55.81,65,0,7.09,clear sky
203,Kingman,US,2022-05-12 05:56:53,35.1894,-114.053,58.48,9,0,1.99,clear sky
204,Castle Bruce,DM,2022-05-12 05:56:54,15.4333,-61.2667,78.22,82,93,14.67,overcast clouds
205,Necochea,AR,2022-05-12 05:56:55,-38.5473,-58.7368,46.44,81,98,6.31,overcast clouds
206,Huarmey,PE,2022-05-12 05:56:55,-10.0681,-78.1522,64.17,89,39,6.93,scattered clouds
207,Oussouye,SN,2022-05-12 05:56:56,12.485,-16.5469,70.92,90,22,6.64,few clouds
208,Yuksekova,TR,2022-05-12 05:56:56,37.5736,44.2872,50.7,49,30,5.97,scattered clouds
209,Port Lincoln,AU,2022-05-12 05:56:57,-34.7333,135.8667,63.9,64,15,5.64,few clouds
