City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
139,Humaita,BR,73.42,broken clouds,-7.5061,-63.0208,Corrêa Hotel
142,Pasni,PK,87.58,few clouds,25.2631,63.471,Kashmiri Hotal
143,Bowen,AU,74.91,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
149,Sumbe,AO,74.35,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
150,Pringsewu,ID,89.28,light rain,-5.3582,104.9744,Urban Style by Front One
152,Port-Gentil,GA,75.16,light rain,-0.7193,8.7815,Fengshui Residence
153,Tura,IN,81.41,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
155,Grand Gaube,MU,80.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
156,Bondowoso,ID,82.6,overcast clouds,-7.9135,113.8214,Anugerah Hotel Bondowoso
158,Kudahuvadhoo,MV,83.26,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
160,Bengkulu,ID,82.63,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
163,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
167,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
170,Reo,BF,83.62,broken clouds,12.3167,-2.4667,Hôtel Deogratias
171,Pilar,BR,73.33,light rain,-9.5972,-35.9567,Pousada e churrascaria Manguaba
174,Fare,PF,81.66,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
175,Vao,NC,73.35,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
178,Basco,PH,84.15,broken clouds,20.4487,121.9702,Nathaniel's Lodge
179,Banepa,NP,79.12,scattered clouds,27.6298,85.5214,Dhulikhel Lodge Resort
180,Kathmandu,NP,80.82,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
182,Sola,VU,76.82,light rain,-13.8833,167.55,Leumerus Bungalows
184,Hithadhoo,MV,82.45,overcast clouds,-0.6,73.0833,Scoop Guest House
188,Tezu,IN,81.1,overcast clouds,27.9167,96.1667,Circuit House
192,Marti,CU,72.54,clear sky,22.9475,-80.9203,Hotel Bibanasí
194,Soe,ID,83.17,broken clouds,-9.8607,124.284,Dena Hotel
195,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
197,Puerto Ayora,EC,71.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
198,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
204,Castle Bruce,DM,78.22,overcast clouds,15.4333,-61.2667,Sunrise Farm Cottages
207,Oussouye,SN,70.92,few clouds,12.485,-16.5469,Auberge du Routard
214,Nago,JP,84.63,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
